timestamp,code,i01,i02,i03,i04r,i05,i06,i07,i08r,i09,i10,n_facebook_friends,n_hangover,age,sex,extra_single_item,time_conversation,presentation,n_party,clients,extra_vignette,extra_description,prop_na_per_row,extra_mean,extra_median,n_clients
03.03.2016 15:34:44,CZP,4,2,3,1,4,1,3,2,3,2,600,0.0,24,Frau,3,NA,nein,30.0,im Schnitt mehrfach pro Tag,passt insgesamt,3,0.0,2.5,2.5,NA
03.03.2016 15:34:46,,4,2,3,2,3,1,3,1,4,4,500,0.0,20,Frau,3,7.0,nein,4.0,im Schnitt mehrfach pro Tag,passt insgesamt,3,0.0,2.7,3.0,NA
03.03.2016 15:34:53,ism,4,1,2,1,4,2,3,2,3,2,300,0.0,20,Frau,3,30.0,nein,5.0,im Schnitt 1 Mal pro Monat,keine Antwort,3,0.0,2.4,2.0,1.0
03.03.2016 15:35:02,Asm,4,2,3,1,3,2,4,2,4,3,350,10.0,23,Frau,3,15.0,nein,20.0,im Schnitt mehrfach pro Tag,passt insgesamt,3,0.0,2.8,3.0,NA
03.03.2016 15:35:08,TPF,3,2,1,2,3,1,3,1,4,2,608,2.0,24,Frau,2,10.0,nein,30.0,im Schnitt mehrfach pro Tag,passt insgesamt,5,0.0,2.2,2.0,NA
03.03.2016 15:35:15,Oam,2,3,3,2,3,3,1,2,1,2,NA,6.0,24,Mann,3,15.0,nein,6.0,im Schnitt 1 Mal pro Woche,passt insgesamt nicht,4,0.043478260869565216,2.2,2.0,1.0
03.03.2016 15:35:28,AEM,3,2,1,1,4,2,3,2,3,2,500,10.0,21,Frau,3,10.0,nein,5.0,ich arbeite ncht ,keine Antwort,6,0.0,2.3,2.0,NA
03.03.2016 15:35:32,,4,2,2,2,3,2,3,2,4,1,521,12.0,25,Frau,2,10.0,ja,12.0,im Schnitt mehrfach pro Tag,passt insgesamt,5,0.0,2.5,2.0,NA
03.03.2016 15:35:34,JMM,3,2,1,2,3,2,3,1,3,3,280,12.0,23,Frau,2,10.0,nein,30.0,im Schnitt mehrfach pro Tag,passt insgesamt,4,0.0,2.3,2.5,NA
03.03.2016 15:35:57,MKW,4,1,1,2,2,1,2,1,4,2,250,12.0,22,Frau,2,10.0,nein,12.0,im Schnitt 1 Mal pro Quartal (oder weniger),passt insgesamt,6,0.0,2.0,2.0,1.0
03.03.2016 15:36:00,AWP,3,2,1,1,4,2,3,1,3,3,120,20.0,23,Frau,4,15.0,nein,22.0,im Schnitt 1 Mal pro Quartal (oder weniger),keine Antwort,2,0.0,2.3,2.5,1.0
